store_id,store_name,vendor_id
70,"Stanton, Rowe and Kuphal",320
71,Graham - Mertz,321
72,Runte - Ritchie,322
73,Mertz and Sons,323
74,Baumbach - Bashirian,324
75,"Treutel, Morissette and Graham",325
76,King - Kuhic,326
77,"Paucek, Gutkowski and Stoltenberg",327
78,Klein LLC,328
79,Luettgen - Koch,329
80,Rau - Mertz,330
81,"Deckow, Wiegand and Wolf",331
82,Lind Group,332
83,Lemke - Bednar,333
84,"Buckridge, Durgan and Block",334
85,Stroman and Sons,335
86,Steuber LLC,336
87,Goldner - Tromp,337
88,Hammes LLC,338
89,"Prohaska, Stoltenberg and Watsica",339
90,Kertzmann and Sons,340
91,Kunze LLC,341
92,"McKenzie, McLaughlin and Abbott",342
93,Klocko Inc,343
94,Bergnaum Group,344
95,"Kub, Senger and Schaefer",345
96,Glover LLC,346
97,Dibbert Group,347
98,"Halvorson, Altenwerth and Kirlin",348
99,Hodkiewicz LLC,349
100,Gerhold - Greenholt,350
101,Vandervort LLC,351
102,Balistreri - Effertz,352
103,Swaniawski Inc,353
104,"Runolfsson, Pacocha and Gutkowski",354
105,Quitzon - White,355
106,Murazik Group,356
107,Oberbrunner - Trantow,357
108,Thompson - Gleason,358
109,Skiles - Kemmer,359
110,Wolf - Nitzsche,360
111,"Bins, Ebert and Schmitt",361
112,Robel Group,362
113,Nienow and Sons,363
114,"Leannon, Upton and Ortiz",364
115,"Spinka, Moen and Rice",365
116,Wiza Group,366
117,"Beatty, Kris and Carter",367
118,Reichel - Stark,368
119,"Simonis, Green and Ziemann",369
120,Ruecker - Heaney,370
121,Mante - Luettgen,371
122,"Parisian, Dooley and Kemmer",372
123,"Wyman, Moore and Simonis",373
124,"Hegmann, Hammes and Hodkiewicz",374
125,Borer - McLaughlin,375
126,Prohaska Inc,376
127,Tremblay Inc,377
128,Bayer - Lowe,378
129,Hills and Sons,379
130,Pouros LLC,380
131,Kuhlman - Schowalter,381
132,Schamberger and Sons,382
133,Johnston - Torp,383
134,"White, Leuschke and Gleichner",384
135,Ratke Inc,385
136,Bernier - Cruickshank,386
137,Hodkiewicz - Toy,387
138,Koch - Nienow,388
139,Cronin Inc,389
140,"D'Amore, Leffler and Deckow",390
141,Kuphal - Shields,391
142,Olson - Volkman,392
143,Padberg - Olson,393
144,"Gorczany, Bernier and Emmerich",394
145,Kiehn Group,395
146,Wilderman and Sons,396
147,"Parisian, Gleason and Feil",397
148,"Kertzmann, Lakin and Ritchie",398
149,Quitzon LLC,399
150,Raynor - Robel,400
151,Bergnaum LLC,401
152,"MacGyver, Zboncak and Bernier",402
153,Kshlerin - Leuschke,403
154,"Hickle, Kohler and Robel",404
155,Sporer - Schaden,405
156,Pfeffer and Sons,406
157,Hermiston - Rempel,407
158,"Glover, Lynch and Kub",408
159,Cummerata - Kemmer,409
160,Kling - Sporer,410
161,Yundt - Parisian,411
162,"Greenfelder, Moore and Heathcote",412
163,Wunsch and Sons,413
164,Thiel and Sons,414
165,"Braun, Russel and Gislason",415
166,Hettinger - Dickinson,416
167,Emard LLC,417
168,Nikolaus Inc,418
169,"Predovic, Nader and Kuhn",419
170,Mayer LLC,420
171,Kshlerin and Sons,421
172,Zboncak Inc,422
173,Dare and Sons,423
174,Sporer - Dibbert,424
175,"Shields, King and Anderson",425
176,"Little, Doyle and Mills",426
177,Dibbert - Stiedemann,427
178,Langworth - Douglas,428
179,Rolfson Inc,429
180,"Hessel, Schneider and Feeney",430
181,"Wiza, Daugherty and Stehr",431
182,"Altenwerth, Kessler and Schroeder",432
183,"Wiegand, Feest and Nitzsche",433
184,Medhurst - Kuhic,434
185,Daniel - Rodriguez,435
186,Schumm - Dibbert,436
187,"Welch, McGlynn and Greenfelder",437
188,"Dach, Hilll and Spinka",438
189,Turner Group,439
190,Frami - Hermiston,440
191,Walsh Inc,441
192,Legros - Considine,442
193,Franey - Murray,443
194,"Batz, Metz and Considine",444
195,"Macejkovic, Kilback and Stoltenberg",445
196,Bergnaum and Sons,446
197,"Kozey, Rosenbaum and Kuhic",447
198,VonRueden Inc,448
199,Zemlak Group,449
200,"Feil, Batz and Larson",450
201,"Stoltenberg, Botsford and Batz",451
202,Shanahan Inc,452
203,Spencer LLC,453
204,Heathcote and Sons,454
205,"Bode, Bayer and Batz",455
206,Trantow - Feest,456
207,Farrell - Bahringer,457
208,Casper LLC,458
209,Cartwright LLC,459
210,Kautzer - Hane,460
211,Wehner - Kozey,461
212,Stokes - Mayert,462
213,Torphy - Greenholt,463
214,Mohr and Sons,464
215,"Gusikowski, Graham and Kutch",465
216,Schamberger LLC,466
217,Reichel LLC,467
218,Lang - Raynor,468
219,Hyatt - Bergstrom,469
220,Dibbert LLC,470
221,"Dooley, Volkman and Friesen",471
222,"King, Ziemann and McCullough",472
223,Franey - Kuphal,473
224,"Mann, Ratke and Stroman",474
225,Wuckert Group,475
226,Feil LLC,476
227,Schroeder - West,477
228,"Lynch, McDermott and Streich",478
229,"Lemke, Schiller and Koelpin",479
230,Brekke - Jast,480
231,"Macejkovic, Gutkowski and Schultz",481
232,Breitenberg LLC,482
233,Schroeder and Sons,483
234,"Balistreri, Tillman and Schamberger",484
235,"Crist, Brakus and Kemmer",485
236,"Spencer, Dicki and Wolf",486
237,"Baumbach, Jerde and Pfannerstill",487
238,Ebert LLC,488
239,Heidenreich Group,489
240,"Price, Schuster and Weissnat",490
241,Lind - Kuhic,491
242,Botsford - Jast,492
243,Mertz and Sons,493
244,"Bahringer, Jacobs and Herzog",494
245,Schmeler - Schowalter,495
246,Nitzsche - Kunde,496
247,Murray - Kerluke,497
248,Jenkins - Tremblay,498
249,Nader Group,499
250,Lindgren Group,500
